Timestamp,Frame,VehicleID,Class,Speed_km_h,Center_X,Center_Y
1741964770.5653937,1,1,car,0.0,55,485
1741964770.5653937,1,2,bus,0.0,929,368
1741964770.5653937,1,3,car,0.0,274,393
1741964770.5653937,1,4,car,0.0,177,405
1741964770.5653937,1,5,motorcycle,0.0,146,449
1741964770.5653937,1,6,person,0.0,326,413
1741964770.5653937,1,7,motorcycle,0.0,231,502
1741964770.5653937,1,8,car,0.0,370,398
1741964770.5653937,1,9,truck,0.0,369,398
1741964770.5653937,1,10,car,0.0,1220,587
1741964770.5653937,1,11,motorcycle,0.0,233,493
1741964770.5653937,1,12,truck,0.0,1220,583
1741964770.5653937,1,13,car,0.0,561,381
1741964780.7582169,2,1,car,6.48,55,483
1741964780.7582169,2,2,bus,17.45,924,370
1741964780.7582169,2,3,car,3.24,274,394
1741964780.7582169,2,4,car,7.24,175,406
1741964780.7582169,2,5,motorcycle,3.24,146,448
1741964780.7582169,2,6,person,3.24,325,413
1741964780.7582169,2,7,motorcycle,16.2,227,505
1741964780.7582169,2,8,car,9.16,368,400
1741964780.7582169,2,9,truck,9.16,367,400
1741964780.7582169,2,10,car,3.24,1219,587
1741964780.7582169,2,11,motorcycle,4.58,232,494
1741964780.7582169,2,12,truck,3.24,1220,584
1741964780.7582169,2,13,car,7.24,560,383
1741964788.9799404,3,1,car,6.83,56,484
1741964788.9799404,3,2,bus,27.58,920,371
1741964788.9799404,3,3,car,5.89,273,395
1741964788.9799404,3,4,car,10.91,174,407
1741964788.9799404,3,5,motorcycle,6.85,148,447
1741964788.9799404,3,6,person,3.89,325,413
1741964788.9799404,3,7,motorcycle,20.5,227,506
1741964788.9799404,3,8,car,13.29,367,401
1741964788.9799404,3,9,truck,12.25,366,400
1741964788.9799404,3,10,car,4.56,1219,588
1741964788.9799404,3,11,motorcycle,5.5,232,494
1741964788.9799404,3,12,truck,7.39,1219,586
1741964788.9799404,3,13,car,9.65,559,383
1741964797.3969665,4,1,car,5.86,56,485
1741964797.3969665,4,2,bus,34.46,915,369
1741964797.3969665,4,3,car,7.36,274,396
1741964797.3969665,4,4,car,11.05,176,408
1741964797.3969665,4,5,car,15.04,149,440
1741964797.3969665,4,6,person,3.8,326,414
1741964797.3969665,4,7,motorcycle,20.92,225,503
1741964797.3969665,4,8,car,13.2,368,401
1741964797.3969665,4,10,car,3.19,1220,587
1741964797.3969665,4,11,motorcycle,5.38,232,494
1741964797.3969665,4,12,truck,9.63,1219,587
1741964797.3969665,4,13,car,10.65,559,384
1741964805.0794265,5,1,car,5.91,57,486
